,Unnamed: 0,Address,Rent,Bedrooms,Bathrooms,Cooling,Heating,Laundry,Pets,Parking,Studio,NYC
0,0,E 16th St,2500,3,2,1,1,1,1,0,0,0
1,2,120 Wyckoff Ave # 2F,1750,1,1,0,0,0,1,0,0,0
2,3,333 E 102nd St APT 205,3495,2,2,0,0,1,1,0,0,1
3,4,247 Mulberry St APT 3L,4250,1,1,1,1,0,1,0,0,1
4,5,315 E 56th St APT 3D,3311,1,1,0,0,1,1,0,0,1
5,6,219 E 76th St APT 2A,2200,0,1,0,0,0,1,0,1,1
6,7,317 W 21st St APT 3D,2925,1,1,0,0,1,1,0,0,1
7,8,323 E 93rd St APT 1E,2850,2,1,0,0,0,1,0,0,1
8,9,78 Cornelia St APT 1,2900,2,1,0,0,0,1,0,0,0
9,10,66 Bainbridge St APT 4,2600,2,1,0,0,1,1,0,0,0
10,11,271 Clarkson Ave # 217,2250,2,1,0,0,1,1,1,0,0
11,12,Bay 31st St,1650,2,1,0,0,0,0,0,0,0
12,13,150 E 85th St APT 11E,3395,1,1,0,0,1,1,0,0,1
13,14,454 W 36th St APT 1FE,2400,2,1,0,0,0,1,0,0,1
14,15,329 E 75th St APT 1D,1895,0,1,0,0,0,1,0,1,1
15,16,65 Columbia St # 20,1850,2,1,1,1,1,1,0,0,1
16,17,418 E 84th St APT 3C,2000,0,1,0,0,0,1,0,1,1
17,18,E 96th St,2395,3,1,0,0,0,0,0,0,0
18,19,646 W End Ave # 4CG,2375,1,1,0,0,0,1,0,0,1
19,20,438 E 75th St APT 2RE,2245,2,1,0,0,0,1,0,0,1
20,21,303 10th Ave # 70A,5910,3,2,1,1,1,1,0,0,1
21,22,100 Norfolk St,19800,2,2,1,1,1,1,1,0,1
22,23,85 Christopher St APT 2A,2595,0,1,0,0,0,1,0,1,1
23,24,56 S Portland Ave APT 9,2600,1,1,0,0,0,0,0,0,0
24,25,W 9th St,1300,1,1,0,0,1,0,0,0,0
25,26,70th St,2000,2,1,0,0,0,0,0,0,0
26,27,921 Saint Marks Ave # 3C33,2200,2,1,0,0,0,1,0,0,0
27,28,940 Atlantic Ave # 2C,2950,2,1,0,0,1,1,0,0,0
