,Address,Rent,Bedrooms,Bathrooms,Neighborhood,City,County,Cooling,Heating,Laundry,Pets,Parking
0,E 16th St,2500,3,2 baths,Homecrest,city,Kings,Other,Forced air,In Unit,"Cats, small dogs",Off street
2,120 Wyckoff Ave # 2F,1750,1,1 bath,Bushwick,city,Kings,No Data,No Data,No Data,Contact manager,No Data
3,333 E 102nd St APT 205,3495,2,2 baths,East_Harlem,city,New_York,No Data,No Data,Shared,Contact manager,No Data
4,247 Mulberry St APT 3L,4250,1,1 bath,Little_Italy,city,New_York,Other,Forced air,No Data,Contact manager,No Data
5,315 E 56th St APT 3D,3311,1,1 bath,Sutton_Place,city,New_York,No Data,No Data,Shared,"Cats, large dogs, small dogs",No Data
6,219 E 76th St APT 2A,2200,0,1 bath,Upper_East_Side,city,New_York,No Data,No Data,No Data,Contact manager,No Data
7,317 W 21st St APT 3D,2925,1,1 bath,Chelsea,city,New_York,No Data,No Data,Shared,"Cats, large dogs, small dogs",No Data
8,323 E 93rd St APT 1E,2850,2,1 bath,Upper_East_Side,city,New_York,No Data,No Data,No Data,Contact manager,No Data
9,78 Cornelia St APT 1,2900,2,1 bath,Bushwick,city,Kings,No Data,No Data,No Data,"Cats, large dogs, small dogs",No Data
10,66 Bainbridge St APT 4,2600,2,1 bath,Bedford_Stuyvesant,city,Kings,No Data,No Data,Shared,"Cats, large dogs, small dogs",No Data
11,271 Clarkson Ave # 217,2250,2,1 bath,Prospect_Lefferts_Gardens,city,Kings,No Data,No Data,Shared,"Cats, large dogs, small dogs",Attached Garage
12,Bay 31st St,1650,2,1 bath,Bath_Beach,city,Kings,No Data,No Data,No Data,No,No Data
13,150 E 85th St APT 11E,3395,1,1 bath,Upper_East_Side,city,New_York,No Data,No Data,Shared,"Cats, large dogs, small dogs",No Data
14,454 W 36th St APT 1FE,2400,2,1 bath,Hudson_Yards,city,New_York,No Data,No Data,No Data,Cats,No Data
15,329 E 75th St APT 1D,1895,0,1 bath,Upper_East_Side,city,New_York,No Data,No Data,No Data,Contact manager,No Data
16,65 Columbia St # 20,1850,2,1 bath,Lower_East_Side,city,New_York,Other,Forced air,Shared,Contact manager,No Data
17,418 E 84th St APT 3C,2000,0,1 bath,Upper_East_Side,city,New_York,No Data,No Data,No Data,Contact manager,No Data
18,E 96th St,2395,3,1 bath,East_Flatbush,city,Kings,No Data,No Data,No Data,No,No Data
19,646 W End Ave # 4CG,2375,1,1 bath,Upper_West_Side,city,New_York,No Data,No Data,No Data,Cats,No Data
20,438 E 75th St APT 2RE,2245,2,1 bath,Upper_East_Side,city,New_York,No Data,No Data,No Data,Contact manager,No Data
21,303 10th Ave # 70A,5910,3,2 baths,Chelsea,city,New_York,Other,Forced air,"In Unit, Shared","Cats, large dogs, small dogs",No Data
